"Time(s)", "Thrust (N)"
0.042896,972.36
0.042929,972.36
0.042963,961.56
0.042996,961.56
0.043029,995.4
0.043063,1058.28
0.043096,1058.28
0.043129,1013.88
0.043163,966.6
0.043196,966.6
0.04323,1005
0.043264,1005
0.043296,980.88
0.04333,925.92
0.043363,910.2
0.043403,910.2
0.043428,918.6
0.043463,939.6
0.043497,984.6
0.043531,984.6
0.043564,986.88
0.043597,1002.12
0.043633,1002.12
0.043662,1000.8
0.043698,960
0.043732,946.2
0.043764,946.2
0.043798,1013.52
0.043831,1013.52
0.043865,965.64
0.043898,965.64
0.043931,976.2
0.043965,986.76
0.043999,1000.92
0.044032,1000.92
0.044065,992.16
0.044098,988.68
0.044132,988.68
0.044166,992.16
0.044199,1015.2
0.044232,1010.28
0.044266,1010.28
0.044299,963.12
0.044333,963.12
0.044365,978.6
0.044402,978.6
0.044433,979.68
0.044466,965.88
0.044504,955.56
0.044531,955.56
0.044566,960
0.0446,966
0.044633,966
0.044666,959.28
0.0447,948.48
0.044733,951.12
0.04477,951.12
0.044799,968.88
0.044833,968.88
0.044867,966.6
0.044901,945.36
0.044934,945.36
0.044968,957.96
0.045001,963.36
0.045034,976.44
0.045068,984.24
0.045101,984.24
0.045134,984.24
0.045168,992.4
0.045201,1005.84
0.045235,1005.84
0.045269,1005.84
0.045301,1002.36
0.045335,976.08
0.045368,969.6
0.045402,969.6
0.045435,989.52
0.045468,992.52
0.045502,993.12
0.045536,993.72
0.045569,1000.32
0.045602,1000.32
0.045636,1000.32
0.045669,999.12
0.045703,999.12
0.045736,962.88
0.045769,962.88
0.045803,996.96
0.045836,996.96
0.04587,976.92
0.045907,976.92
0.045934,976.92
0.04597,960.36
0.046004,960.36
0.046037,992.52
0.04607,992.52
0.046103,990.84
0.046137,990.84
0.046171,990.84
0.046203,990.84
0.046237,990.84
0.046271,1000.32
0.046304,1000.32
0.046338,965.28
0.04637,934.8
0.046404,934.8
0.046438,982.56
0.046471,992.88
0.046507,992.88
0.046538,958.68
0.046571,958.68
0.046605,973.8
0.046638,979.92
0.046671,997.2
0.046705,997.2
0.046738,975.24
0.046772,952.68
0.046806,952.68
0.046838,994.8
0.046872,999.96
0.046906,994.8
0.046939,992.76
0.046973,992.76
0.047006,974.28
0.047039,975.24
0.047071,975.24
0.047106,980.04
0.047139,980.04
0.047173,964.8
0.047206,959.88
0.04724,960.84
0.047274,960.84
0.047306,973.92
0.04734,975
0.047373,978.84
0.047407,978.84
0.04744,984.36
0.047473,984.72
0.047507,984.36
0.047541,983.76
0.047574,983.76
